City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,52.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1,Tuktoyaktuk,CA,18.86,few clouds,69.4541,-133.0374,End of The Road Ltd.
2,Punta Arenas,CL,48.31,clear sky,-53.15,-70.9167,Hotel Hain
3,Ulladulla,AU,58.78,broken clouds,-35.35,150.4667,Sandpiper Motel
4,Busselton,AU,53.96,clear sky,-33.65,115.3333,Observatory Guest House
5,Meulaboh,ID,75.56,overcast clouds,4.1363,96.1285,Kost Pria
6,Albany,US,42.37,broken clouds,42.6001,-73.9662,
7,Ponta Do Sol,PT,63.23,few clouds,32.6667,-17.1,Hotel do Campo
8,Ushuaia,AR,47.86,scattered clouds,-54.8,-68.3,Albatross Hotel
9,Rikitea,PF,77.56,light rain,-23.1203,-134.9692,People ThankYou
10,Yellowknife,CA,23.31,broken clouds,62.456,-114.3525,The Explorer Hotel
11,Tabory,RU,31.46,scattered clouds,58.5198,64.5495,
12,Akonolinga,CM,69.33,light rain,3.7667,12.25,Le Diamant De Mireille
13,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
14,Castro,BR,61.95,clear sky,-24.7911,-50.0119,CHACARA BAILLY
15,Cayenne,GF,77.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
16,Hamilton,US,52.99,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
17,Bredasdorp,ZA,60.96,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
18,Tahta,EG,73.47,clear sky,26.7693,31.5021,فندق الزيات
19,Nelson Bay,AU,63.09,clear sky,-32.7167,152.15,Mantra Nelson Bay
20,Mataura,NZ,52.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
21,Kenai,US,47.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
22,Esperance,AU,57.04,broken clouds,-33.8667,121.9,Hospitality Esperance
23,Bengkulu,ID,77.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Buba,GW,78.64,few clouds,11.5833,-15.0,Pousada Bela Vista
25,Bethel,US,48.29,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
26,Kodiak,US,42.31,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
27,Urumqi,CN,58.15,scattered clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
28,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
29,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
31,Atar,MR,89.24,broken clouds,20.5169,-13.0499,Oumou Elghoura
32,Barrow,US,10.42,clear sky,71.2906,-156.7887,King Eider Inn
33,Antalaha,MG,75.38,few clouds,-14.9003,50.2788,Hotel Vitasoa
34,Caravelas,BR,75.33,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
35,Tsabong,BW,67.37,scattered clouds,-26.0217,22.401,Springbok Motel
36,Dargaville,NZ,68.36,overcast clouds,-35.9333,173.8833,Parkview Motel
37,Norman Wells,CA,29.23,few clouds,65.282,-126.8329,Heritage Hotel
38,San Jose,US,68.38,broken clouds,37.3394,-121.895,The Westin San Jose
39,Lompoc,US,78.01,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
40,Hobart,AU,55.22,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
41,Souillac,MU,77.5,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
