City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,52.81,83,100,9.89,overcast clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,18.86,84,18,6.49,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,48.31,61,0,16.11,clear sky
3,Ulladulla,AU,-35.35,150.4667,58.78,84,78,4.83,broken clouds
4,Busselton,AU,-33.65,115.3333,53.96,87,0,10.29,clear sky
5,Meulaboh,ID,4.1363,96.1285,75.56,90,100,3.06,overcast clouds
6,Albany,US,42.6001,-73.9662,42.37,64,69,4.0,broken clouds
7,Ponta Do Sol,PT,32.6667,-17.1,63.23,65,11,11.43,few clouds
8,Ushuaia,AR,-54.8,-68.3,47.86,66,40,11.5,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,77.56,75,70,17.58,light rain
10,Yellowknife,CA,62.456,-114.3525,23.31,76,57,5.73,broken clouds
11,Tabory,RU,58.5198,64.5495,31.46,95,41,5.32,scattered clouds
12,Akonolinga,CM,3.7667,12.25,69.33,98,100,2.42,light rain
13,Avarua,CK,-21.2078,-159.775,80.65,74,54,8.05,broken clouds
14,Castro,BR,-24.7911,-50.0119,61.95,76,0,3.15,clear sky
15,Cayenne,GF,4.9333,-52.3333,77.09,1,75,2.3,light rain
16,Hamilton,US,39.1834,-84.5333,52.99,48,75,17.27,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,60.96,91,0,2.48,clear sky
18,Tahta,EG,26.7693,31.5021,73.47,25,0,12.15,clear sky
19,Nelson Bay,AU,-32.7167,152.15,63.09,74,0,21.3,clear sky
20,Mataura,NZ,-46.1927,168.8643,52.48,82,100,3.58,overcast clouds
21,Kenai,US,60.5544,-151.2583,47.03,46,0,10.36,clear sky
22,Esperance,AU,-33.8667,121.9,57.04,68,80,9.04,broken clouds
23,Bengkulu,ID,-3.8004,102.2655,77.2,87,100,5.77,overcast clouds
24,Buba,GW,11.5833,-15.0,78.64,61,18,6.38,few clouds
25,Bethel,US,41.3712,-73.414,48.29,57,100,10.36,overcast clouds
26,Kodiak,US,57.79,-152.4072,42.31,70,75,17.27,broken clouds
27,Urumqi,CN,43.801,87.6005,58.15,33,28,6.71,scattered clouds
28,Quatre Cocos,MU,-20.2078,57.7625,79.09,86,96,7.78,overcast clouds
29,Port Alfred,ZA,-33.5906,26.891,68.18,87,85,1.01,overcast clouds
30,Ilulissat,GL,69.2167,-51.1,6.82,72,75,12.66,light shower snow
31,Atar,MR,20.5169,-13.0499,89.24,16,67,7.38,broken clouds
32,Barrow,US,71.2906,-156.7887,10.42,72,0,12.66,clear sky
33,Antalaha,MG,-14.9003,50.2788,75.38,87,15,6.8,few clouds
34,Caravelas,BR,-17.7125,-39.2481,75.33,65,8,6.78,clear sky
35,Tsabong,BW,-26.0217,22.401,67.37,46,27,6.08,scattered clouds
36,Dargaville,NZ,-35.9333,173.8833,68.36,87,100,11.23,overcast clouds
37,Norman Wells,CA,65.282,-126.8329,29.23,77,15,7.07,few clouds
38,San Jose,US,37.3394,-121.895,68.38,50,75,14.97,broken clouds
39,Lompoc,US,34.6391,-120.4579,78.01,69,20,24.0,few clouds
40,Hobart,AU,-42.8794,147.3294,55.22,85,40,10.36,scattered clouds
41,Souillac,MU,-20.5167,57.5167,77.5,88,72,8.57,broken clouds
42,Talnakh,RU,69.4865,88.3972,-0.8,100,98,1.19,overcast clouds
43,Camabatela,AO,-8.1881,15.375,64.13,95,100,2.53,light rain
44,Assai,BR,-23.3733,-50.8414,76.86,74,3,2.84,clear sky
45,Lebu,CL,-37.6167,-73.65,54.55,94,100,2.84,moderate rain
46,Padang,ID,-0.9492,100.3543,76.66,90,100,2.1,overcast clouds
47,Jalu,LY,29.0331,21.5482,62.46,46,4,11.1,clear sky
48,Airai,TL,-8.9266,125.4092,58.64,74,33,2.37,scattered clouds
49,Ancud,CL,-41.8697,-73.8203,51.22,74,47,5.01,scattered clouds
50,Saint-Francois,FR,46.4154,3.9054,51.24,66,0,5.75,clear sky
51,Remanso,BR,-9.6179,-42.0831,82.08,59,69,8.12,broken clouds
52,Trairi,BR,-3.2778,-39.2689,78.55,83,100,6.82,overcast clouds
53,Port Hedland,AU,-20.3167,118.5667,75.25,46,10,6.91,clear sky
54,Bulgan,MN,48.8125,103.5347,31.41,84,100,10.25,light snow
55,Geraldton,AU,-28.7667,114.6,64.81,45,0,5.75,clear sky
56,Butaritari,KI,3.0707,172.7902,81.46,76,62,16.2,broken clouds
57,Sterling,US,39.0062,-77.4286,51.28,44,75,19.57,broken clouds
58,Ambilobe,MG,-13.2,49.05,74.03,94,5,1.16,clear sky
59,Carballo,ES,43.213,-8.691,50.86,83,80,10.25,broken clouds
60,Kapaa,US,22.0752,-159.319,78.78,76,100,21.85,overcast clouds
61,Plettenberg Bay,ZA,-34.0527,23.3716,64.67,73,1,6.29,clear sky
62,New Norfolk,AU,-42.7826,147.0587,54.88,78,97,1.01,overcast clouds
63,Cherskiy,RU,68.75,161.3,23.07,84,14,7.4,few clouds
64,Rantepao,ID,-2.9701,119.8978,67.5,98,100,1.92,overcast clouds
65,Zyryanka,RU,65.75,150.85,13.71,87,12,9.82,few clouds
66,Vestmannaeyjar,IS,63.4427,-20.2734,44.22,78,100,21.88,overcast clouds
67,Nikolskoye,RU,59.7035,30.7861,40.89,91,11,4.85,few clouds
68,Rocha,UY,-34.4833,-54.3333,67.87,71,73,11.25,broken clouds
69,Chuy,UY,-33.6971,-53.4616,67.59,75,7,10.87,clear sky
70,Seymchan,RU,62.8833,152.4333,6.87,87,21,2.82,few clouds
71,Poum,NC,-20.2333,164.0167,77.16,82,3,6.35,clear sky
72,Aksarka,RU,66.5606,67.7975,30.27,92,100,13.27,overcast clouds
73,Tarakan,ID,3.3,117.6333,79.07,83,100,5.77,overcast clouds
74,Yining,CN,29.0361,114.5636,57.07,90,70,1.45,broken clouds
75,Hasaki,JP,35.7333,140.8333,54.0,60,93,12.48,overcast clouds
76,Cape Town,ZA,-33.9258,18.4232,71.11,47,24,5.01,few clouds
77,Pathardi,IN,19.1667,75.1833,85.89,27,93,10.29,overcast clouds
78,Dali,CN,25.7,100.1833,54.77,80,100,1.72,overcast clouds
79,Upernavik,GL,72.7868,-56.1549,0.59,83,100,7.2,overcast clouds
80,Nizwa,OM,22.9333,57.5333,79.9,12,0,3.44,clear sky
81,Mahebourg,MU,-20.4081,57.7,79.25,85,85,8.7,overcast clouds
82,Tiksi,RU,71.6872,128.8694,-0.83,100,100,4.83,overcast clouds
83,Atuona,PF,-9.8,-139.0333,79.36,72,36,18.9,scattered clouds
84,Nanortalik,GL,60.1432,-45.2371,28.09,56,3,31.45,clear sky
85,Pitimbu,BR,-7.4706,-34.8086,81.19,79,66,8.32,broken clouds
86,Longyearbyen,SJ,78.2186,15.6401,22.84,86,75,4.61,broken clouds
87,Saint-Pierre,RE,-21.3393,55.4781,77.92,84,100,5.75,overcast clouds
88,Wexford,IE,52.3342,-6.4575,43.7,82,6,4.12,clear sky
89,Viransehir,TR,37.2353,39.7631,59.36,63,96,6.38,overcast clouds
90,La Ronge,CA,55.1001,-105.2842,35.67,74,100,13.22,overcast clouds
91,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,34,75,16.11,broken clouds
92,Kavaratti,IN,10.5669,72.642,84.79,77,26,12.44,scattered clouds
93,Jamsa,FI,61.8642,25.19,36.32,95,49,1.32,scattered clouds
94,Marsa Matruh,EG,31.3525,27.2453,60.4,70,0,10.22,clear sky
